title,preprocessed_title,reviews,date,place,sentiment
"""Abysmal service""",abysmal service,"Not At Copenhagen the most chaotic ticket counter assignment in the history of airlines. Time on board never changed, no fixed counter at Airport. Abysmal service that needs vast improvement here",18th April 2023,United States,Neutral
"""trained to give you the runaround""",trained give runaround,Worst experience of my life trying to deal with the customer service for British Airways. So many issues with getting from one destination to the other. Had an absolutely horrible time trying to get answers or reach anyone who was capable of helping navigate uncertainties. I wrote them a formal complaint requesting some type of refund and received a generic we are sorry email with 5000 avios attached which is equivalent to maybe $50 on a $600+ flight. Needless to say these will go to waste as I refuse to fly with an untrustworthy incompetent unorganized airline that couldnt even address one single issue expressed to them. It was equivalent to handing me a band aid after slapping me in the face. I will say the flight itself was smooth and the onboard staff was kind and attentive. The most frustrating thing is that the customer service is trained to give you the runaround so heavily to the point of exhaustion that you just give up trying and take the loss.,17th April 2023,United States,Neutral
"""they only had one choice of meal""",one choice meal,"Due to code sharing with Cathay Pacific I was downgraded to British Airways on my return leg. I cant describe how cheated I felt. I booked and paid for an airline with great entertainment, food and service, instead, I was forced to go hungry because they only had one choice of meal and it was inedible. To ensure the passengers didnt get any funny ideas and assume that as the vegetarian option was unavailable they might be given a cracker or a small packet of nuts. The cabin crew announced in their uniquely aggressive and dismissive way You wont get anything else for 12 hours you know! the entertainment is compiled mainly of B movies so I paid £11 for Wi-Fi so I could watch Netflix on my laptop. Unsurprisingly, the signal was so weak I couldnt even send an email. To add insult to injury, the earbuds provided the cheapest and lowest quality I have ever seen. Since the last time I used this airline the crew are less rude and obnoxious and are now just impatient and unhelpful.  What I dont understand is why it seems that British Airways look for these characteristics as desirable attributes for their crew.",17th April 2023,Hong Kong,Neutral
"""relentless British Airways cost cutting""",relentless british airway cost cutting,"LHR check in was quick at the First Wing and quickly through security. The First lounge was quiet for a change and a reasonably good breakfast buffet available. While British Airways have brought back their Highlife magazine in the lounge, it seems they used Covid to scrap all the other magazines they used to offer, as part of the endless British Airways cost cutting. The toilets in the lounge were as disgusting as ever, not cleaned frequently on this visit and they are about 20 years out of date (the public washrooms in T5 are better and cleaner). Boarding was the usual British Airways muddled mess, and two of the gate staff appeared to have no clue what they were doing. Endless announcements at the gate about being a full flight, requesting passengers to check in bags, only to get on a flight that was less than 40% full. Onboard a very good welcome from Captain and the flight left the gate only 5 mins late. Breakfast had 3 choices and was a fair standard. No hot towels or even packet towels offered in Club Europe any more, another part of the relentless British Airways cost cutting. I wouldn't mind but fares are proportionately a lot higher now than pre Covid. Cabin staff service was perfunctory at best, not a scrap of recognition for British Airways Gold or Oneworld Emerald members, clear proof that British Airways really don't care any more. Breakfast trays cleared 45 mins into the flight, and that was the sign for staff to stay in the front galley for the rest of the flight. Paid £4.99 for 1 hours wifi, and dropped connection for the next 40 mins. Sad to note that staff service on Ryanair is more pro active nowadays. Priority tagged suitcase came out nearly last at Malaga, this is standard for British Airways business class baggage handling. Do not waste your money on Club Europe, standards just keep dropping.",16th April 2023,United Kingdom,Negative
"""I wouldn't recommend British Airways""",would recommend british airway,"I wouldn't recommend British Airways at all. I tried to call to customer service for 3 times in different days and time and I waited for more than 30 minutes on the phone! I ended hanging up. They are excusing themselves in the high volume of calls. I write an email an I am still waiting for 2 weeks!  Website is difficult to navigate. It is not easy really to have an invoice of proof of receipt or look for another service. They sent you online but you don't receive a PDF file. So if you need a proof of flight, you need to do screenshots. And, once the flight is flown, you have no access to that booking again to reprint any document or try to create a PDF. You need to contact with a customer service which I did it online, long waiting time, and had to wait more than a week to receive it. Expensive and poor, almost inexistent customer service and difficult to use their website. An airline that definitely wouldn't recommend. It is such a shame that in 2023 they are still in this position and sleeping when they have competitors around",15th April 2023,United Kingdom,Neutral
"""Absolutely horrible experience""",absolutely horrible experience,"Absolutely horrible experience. I booked a ticket from Expedia for a British Airways Operated flight from Madrid to Belfast with a changeover at London Heathrow. The whole itinerary was listed as British Airways although the Madrid to London flight was Iberia. On Jan 22nd, London was experiencing cold and fog. The Iberian flight sat on the tarmac for 2 hours in Madrid because of the London weather. Upon landing in Terminal 3, I had to take a bus to Terminal 5. The flight was the last flight to Belfast for the evening and it had already taken off. The British Airways desk was swamped with people as many people had to spend the night due to the weather. The British Airways staff said that we could go book any hotel up to 200 pounds and we would be reimbursed. I was barely able to find a room and had to take an expensive cab. However when trying to get the reimbursement, British Airways said it wasn't their problem and that it was Iberia's problem. Iberia said they do not reimburse due to the weather. When complaining to British Airways, they said they only market the flight as British Airways and that they refuse to reimburse. Absolutely disgusting behavior by the airline to not take any responsibility for a flight that they were using their name to sell it to people but don't want to take responsibility for it. Did they expect me to take the bus back to Terminal 3? Their people gave out false information.",15th April 2023,United States,Negative
"""This is the worst airline""",worst airline,"Not This is the worst airline. Not one thing went right. I dont understand how they have got it so bad. Late take off, no gate when we arrived. Bags took over 40 minutes to arrive. Horrendous",14th April 2023,United Kingdom,Negative
"""never fly British Airways again""",never fly british airway,"I will never fly British Airways again. To start, the plane was over 2 hours late, with no weather and no reason given. The boarding process was chaotic, both in the airport and onto the plane. But more importantly, although we were in business class, it wasnt really business class. There were a few aisles ”not separated in any way”in which they simply put a tray on the middle seat so that no one sits there. And those seats, like the rest, were extremely cramped and uncomfortable. I could not believe they called this business class.",13th April 2023,United States,Negative
"""seats were cramped and uncomfortable""",seat cramped uncomfortable,Worst aircraft I have ever flown. The seats were cramped and uncomfortable considering the flights cost well over &1000each we expected a little space for the money my husbands knees were rubbing on seat in front which for a 10 hour+ flight is not acceptable. My food was disgusting and inedible both the hot food and the breakfast were vile. I would not entertain using British Airways again. Ground staff were great its the seating and food on offer that lets the airline down. We expected so much more.,12th April 2023,United Kingdom,Negative
"""I enjoyed my flight""",enjoyed flight,"I enjoyed my flight. The boarding was swift and service was very friendly and professional. The food selection was good and I enjoyed the quality. The was only one downside - when we landed there was an issue with ground crew not being ready at T5, so in total from landing to getting the doors open it took 30 minutes. I believe the Heathrow T5 were having strike action that week.",11th April 2023,United Kingdom,Positive
"""found the food menu rather odd""",found food menu rather odd,"Why do you make it so hard? After a so so lounge experience, the staff taking care of boarding treated us with disdain bordering contempt. It cant be training, who would do that, it has to be no fear of anything happening. The new club world suites are a huge step up from the old product and really on deliver comfort and privacy. The crew were professional but I personally found the food menu rather odd. Essentially, there was one only main that I could handle and was then told they had ran out. I was a few rows in.",10th April 2023,United Kingdom,Negative
"""cover 50% of my new luggage""",cover new luggage,"After several delays and canceled flights, we finally made it to Copenhagen on American Airlines and British Airways flights. My luggage was destroyed, wheels torn off. I had to buy new luggage in Denmark. I made a claim with British Airways to reimburse me but because I didnt have the receipt for my old luggage, they would only cover 50% of my new luggage. Advice, have receipts for your old luggage prior to flying so you dont get ripped off like I did.",9th April 2023,United States,Positive
"""the worst flight of my life""",worst flight life,"Not Literally the worst flight of my life. After booking tickets together with my partner, we were then separated: ˜sorry, the flight is full. The flight then took off 45 minutes late - no apology. The trolley service took over two hours and they periodically skipped rows, and the response was flippant and rude: ˜whoops. Not sure how that happened. What do you want? Genuinely appalling from beginning to end. Might as well fly Easy Jet - at least they charge a price commensurate with the poor quality of service, not like British Airways",9th April 2023,United Kingdom,Negative
"""flight was pleasant enough""",flight wa pleasant enough,"I swore I would never fly British Airways again after they messed me about so much when trying to get to Budapest. But the times for their flights suited me so I decided to give them another go. The flight left on time (just about), the cabin was clean and the staff friendly. There was even complimentary tea/coffee and a breakfast bar to be had for economy. The flight was pleasant enough and I can't think of any negatives to write about. The flight and service was certainly head and shoulders above my trip with easyjet.",9th April 2023,United Kingdom,Positive
"""downright rude and abusive""",downright rude abusive,"Obviously many airlines have gone downhill in recent years. Prices have increased and services have gone down. The most disappointing thing about British Airways is that aspects that really dont need to get worse have. The check in staff at Heathrow are downright rude and abusive, shouting at passengers to line here and there and rolling their eyes if passengers get confused with the constant shouting and bullying. Airlines are now competing globally more and more and this behaviour is particularly noticeable in Asia where the service industry is next level. I wouldnt want to suggest that all the staff are like this and many younger employees are polite and helpful. However there were a couple of older staff that were downright rude and obnoxious.",6th April 2023,United Kingdom,Negative
"""disappointing staff""",disappointing staff,"Lost 3 out of 4 checked bags. Denied wheelchair assistance at LHR for my wife and the staff forced us to change terminals by foot. Rude staff on British Airways297 from LHR to ORD on April 05, 2023: ignored multiple times when simply requested a cup of water. When walked up to them after a couple of attempts to request for water politely, the British Airways staff onboard yelled at my wife and asked her to be go back to seat. Horrible flight with disappointing staff. Customer service is terrible and online check-in never worked because British Airways never  our COVID documents which were uploaded in advance, resulting me and my wife seated separately. ve lost respect for British Airways. Disgusted.",6th April 2023,United States,Negative
"""crew could not give a damn""",crew could give damn,"I have flown with British Airways for many years and there was a time about 10 years ago when they were getting better. Sadly this trip underlines how they have slipped versus other airlines. At booking time, one is scammed an extortionate amount to book a seat. At Heathrow T5 check in the queues were unbelievably long and staff at bag drop curt to say the least. The lounges here remain awful and overcrowded and British Airways has not invested in them for many years. On the flight the food was okay, although portions are kept minimal. This was one of those days when the crew could not give a damn and the service was mostly absent for the entire flight. Next time they change CEO, can they not do better than recruiting from aa second rate, budget Irish airline.",5th April 2023,United Kingdom,Neutral
"""a very solid experience""",solid experience,"Boarding at Mumbai was chaotic and badly organised. Once on board the crew announcements were professional, relaxed and informative in typical British Airways style. The seat was quite comfortable. It was a refurbished aircraft and the padding and materials are quite good. I was lucky that the middle seat was empty so I didnt suffer from the new narrow seat which I think would have made it a lot less comfortable. The IFE is excellent, responsive and good quality. There is an enormous selection of TV and movies and a good number of games. WIFI is also very good not quite Netflix quality but still reasonable and I dont think £17.99 for full flight is bad value. You can pay less if you just want short term simple messaging. Cabin crew were very good. Friendly and efficient. Catering was reasonable although on a near 10hr flight, the small (but tasty) pastry for the second meal service wasnt really enough. Landing and processing at Heathrow was astonishingly quick - it felt like it was 3am, even though it was 6:30pm! No queues or waiting at all. Even the baggage was super quick at coming through. Overall a very solid experience in economy. Significantly better than it used to be.",31st March 2023,United Kingdom,Neutral
"""Service was impeccable""",service wa impeccable,"Not  Mexico City Airport is a zoo, but taking the late departure on British Airways to LHR isn't too bad. Club passengers can use the AA Admirals Lounge, which is surprisingly good and not too busy as it seems to cater to British Airways's club passengers only at this time of day. Lovely staff, solid food & bar, really pleasant. We flew an older 787 with the old style club seats. Seated in the front cabin (just 3 rows of club) in the window and adjecant aisle seat is really good if you travel with your partner. Come to think of it, I will really miss this old style -once cutting edge- lay-out. There is no better way to fly when you are a couple. We were in that last row of the front cabin so both window and aisle seat had unobstructed access to the aisle. Still terrible you have to pay for these seats, but it obvioulsy works and we were happy getting these seats. Flying British Airways when the crew is good is amazing. Service was impecable on this flight. Just the right mix of humor, service and attention. Food seemed to be good as well, but hardly touched it. I am fine sleeping in these old club world seats although bedding could be better. On time departure, smooth flight and early arrival at Heathrow. We went outside for a smoke and returned to the terminal through fast track. Security at LHR has always been terrible, but today security staff was too busy chatting among themselves so all bags went through without 'secundary' checks. We had a lovely shower at the 'spa', what a fabulous facility. The South Lounge was crazy busy and it is just a design disaster. Who ever choose the bizarre combination of furniture: what a mess! Food on offer was solid and so are the drinks. Our home stretch to Amsterdam was pretty straight forward. Lousy welcome at the door but crew recovered well and made everyone feel special with excellent bar-cart service. I love the 'double'-servings of drinks. English tea is about the worst meal concepts in the world and I really don't understand British Airways stuck to it through the years. No-one like the cucumber white bread things, but hey. On time landing in Amsterdam but the usual long taxi then clumsy jet bridge connection ended up with a 20 minute late arrival, why is it so hard to connect a jetbridge in Amsterdam? Flying club in British Airways is still wonderful. I Love it!",30th March 2023,Netherlands,Positive
"""Very poor service, very frustrating""",poor service frustrating,"Very poor service, very frustrating. Firstly my flight to LHR was cancelled on 16 Mar23, while I got a text message to inform me, the information desk was unable to confirm if was correct or scam. Once this was confirmed, I went to the counter to get my new boarding pass. At the counter they informed me that the coach will be leaving in 15mins for the hotel. We (me and other fellow travelers) waited for over 45mins, there was no one at the coach stand to guide us or answer any questions. The transfer hotel was 30 mins away from the airport. When we got to the hotel which is around 10:15pm the staff informed that dinner closes at 10:30. that was a rush. It appeared more of a Motel than an hotel. The room - was smelling of weed, being a non-smoker this was uncomfortable. Although I wanted to compromise and rest, when I went to wash my face, the tap on the sink came off in my hands, I panicked and asked the reception staff to change my room. After some discussion, they agreed to change it. I went to the alternate room, to my horror, it was occupied. I asked the staff to call a cab, and I left.",29th March 2023,United Kingdom,Negative
"""Generally poor""",generally poor,"Not Generally poor. Sent to gate on time, sat maybe 30 minutes, was then announced as crew were not familiar with the A321 there would be a delay. Clearly nonsense and there was a retraction on board of this statement. Watched the crew walk through to the gate, my impression was they did not want to be there. Was given a miniscule amount of water, small bag of pretzels and then it was announced there would be a wait for any further cabin service as card processing machines were u/s. No further updates or sight of crew for next two hours, then attempted to charge us for even a glass of water. When I said this should be complimentary, girl said it was not her problem and walked away.",27th March 2023,United Kingdom,Negative
"""changed our prepaid seats""",changed prepaid seat,"Not British Airways changed our prepaid seats at the last minute and charged us to select new seats. Flight took off late, cabin crew served a tiny packet of pretzels. Arrived at Heathrow late, put on a remote stand, loaded onto buses to terminal. Held up at transit security by a clown of a member of staff, allowed 15 passengers at a time because of a trial. Queued at security for 20 minutes.",26th March 2023,United Kingdom,Neutral
"""airline is going downhill rapidly""",airline going downhill rapidly,Not Flew from London Heathrow to Marrakech. British Airways changed our pre paid seats at the last minute and even charged us to select other seats. Boarding was chaos. Staff were rude demanding selected passengers put their hand luggage in the hold. I had one small bag however they never demanded other passengers with 2/3 bags and some with hand luggage that was obviously too big. Flight was late taking off and the snack was a miserable tiny packet of cheese pretzels. This airline is going downhill rapidly.,26th March 2023,United Kingdom,Neutral
"""made a complaint, nothing happened""",made complaint nothing happened,"Not I was meant to fly in January to Algeria. I paid over £300 for the ticket. Just a few days before I was meant to fly, my wife broke her foot. I had to then rebook it in March and pay another £100. I called British Airways 3 weeks before my flight in March and I told them again that it had to me rebooked, as my wife was still not well. They told me that I dont have to pay anything to get it rebooked as I sent them a letter from the hospital saying my wife wasnt well. However, they never sent me the ticket. They made me wait for nearly 4 weeks and they asked me to pay either £316 on top of the £450 that I paid previously. Or the second option they gave me is to get a refund of £80. (Tax only). I found it ridiculous that they told me to pay a fraction of the money I previously paid. Each time I call them, they hang up on me; or they continue telling me to pay £360. I made a complaint, and nothing happened.",21st March 2023,United Kingdom,Negative
"""Every flight was delayed""",every flight wa delayed,"We have flown repeatedly with British Airways and the One World alliance over the last few weeks. Every flight was delayed. Now we are back at the airport in Miami and have another massive delay so we will miss our connecting flight. Finally, our luggage arrived in Puerto Rico with a 3-day delay and we had to reschedule our round trip . we haven't received any information about our luggage to this day, luckily we checked it ourselves at the airport and it was there. The last delayed flight meant the cabin crew that they too miss their connecting flights and we are on the same plane and they can't do anything.  Wir sind in den letzten Wochen immer wieder mit Britisch Airways und dem One World Zusammenschluss geflogen. Jeder Flug war verspÃ¤tet. Nun sitzen wir wieder in Miami am Flughafen und haben schon wieder eine massive VerspÃ¤tung sodass wir unseren Anschlussflug verpassen werden. Zuletzt ist auch unser GepÃ¤ck mit 3 Tagen VerspÃ¤tung in Puerto Rico angekommen und wir mussten unseren Rundreise umplanen¦ wir haben bis heute noch keine Info Ã¼ber unser GepÃ¤ck erhalten, zum GlÃ¼ck haben wir selbst am Flughafen nachgesehen und es war da¦ Beim letzten verpspÃ¤teten Flug meinte die Kabinen Crew dass auch sie ihre AnschlussflÃ¼ge verpassen und wir im selben Flugzeug sitzen und sie kÃ¶nnen nichts machen.",21st March 2023,Austria,Neutral
"""how far the quality level has slid""",far quality level ha slid,"I was horrified by the extremely small seats and the poor training that the crew clearly receives. Not one of them exuded any kind of warmth or expressed any desire to make our journey pleasant. The seats were so narrow that regardless of the size of your neighbors you are forced to touch each other constantly, if the seat in front of you is reclined you have no choice but to recline your own, or else you are breathing in the head/ scalp of the person in front of you. Food was revolting, they don't even provide napkins unless you ask with the pre-meal drinks and the secondary meal. The last time I flew British Airways it was a completely other experience and I was so sorry to see how far the quality level has slid. It was really majorly disappointing and I regret that I have already purchased 2 other intercontinental trips with the company. I will now have to see if I can change them. The pathetic 250 ml bottle of water, it's just a sip. On the shorter flights the seats couldn't even be reclined which was a great pity since the flight was delayed by almost 3 hours and we had to wait on board.",20th March 2023,United States,Positive
"""worst cabin experience ever""",worst cabin experience ever,"
The worst cabin experience ever: cramped seats, very low cost style and uncomfortable. Could suit for short flights but not for a 5 hours service. Catering is also a shame: 250ml of water + a chocolate bar for a 5 hours service. Will never fly British Airways again.",20th March 2023,France,Negative
"""Very impressive and efficient""",impressive efficient,"First time flying with British Airways and first time flying to the Americas from India via London Heathrow. I chose Premium Economy at a reasonable price. I was quite comfortable, however, the first leg of the flight from Mumbai to Heathrow, the plane was a bit outdated and there was only a foot rest. The second leg, from Heathrow to Nassau, the plane was brand new and my premium economy seat had a pop up leg support which was much more comfortable. Cabin service was fine - I appreciated that they didn't come through the cabin often while everyone was sleeping. The meals weren't that great to be honest. After landing in Heathrow, we had to wait on the tarmac for 45 minutes waiting for an open gate. My connection was less than an hour long! The British Airways staff in the Heathrow Airport helped me move through security quickly and I made it with time to spare for my next flight. When I arrived in Nassau, I found that my luggage didn't make it due to the short connection time in London. The British Airways baggage representative in Nassau was extremely professional and took down my claim. My luggage arrived on the next British Airways flight a few days later, and British Airways Nassau representative delivered it over to a charter airline which shipped it to the island I was staying on. Very impressive and efficient!",18th March 2023,India,Positive
"""We are done with British Airways""",done british airway,The latest affront. Stood in first class line for an hour. Finally go up front and the British Airways agent let 4 supposed VIPS with 12-14 large to-be-checked bags in front of all of us. Arrogant and unapologetic. Add this to a long list of post-Covid disappointments. We are done with British Airways.,18th March 2023,United States,Neutral
"""I was left stranded at the airport""",wa left stranded airport,"Not Booked a flight return flight between London and Munich for 3/11 to 3/17 in December. The return flight was cancelled and re-booked from 3/17 to 3/12. British Airways only notified me of the first change, but not the second. Getting the flight reinstated took multiple phone calls on both occasions. Each time needing to find a helpful representative. British Airway employees told me that even though they cancelled my flight they did not have to refund the ticket. They tried to charge an $800 change fee. Through repeatedly calling back, British Airways reinstated my 3/17 flight on 2/20 and then again on 3/6. To make sure it did not get changed again, i checked the status of my ticket daily from 3/12 to 3/15. It was intact those days. On 3/16 when it was time to check-in for the flight, it was gone. At the airport the staff at the British Airways check-in counter are not British Airways employees, so cannot help resolve problems. There are no British Airways representative at the Munich Airport. The confirmation documentation from British Airways was of no value. I was left stranded at the airport.",17th March 2023,United States,Neutral
"""I will never fly with them again""",never fly,"I tried to check in on line and was informed that this was not possible. I was given no reason for this. I telephoned British Airways customer service and must have wasted nearly 2 hours being given wrong phone numbers and incorrect information. Staff need customer training, better knowledge of their product, and some manners. British Airways customer service was virtually non existent. I will never fly with them again.",17th March 2023,Netherlands,Negative
"""A catalogue of failures""",catalogue failure,"A catalogue of failures. We flew from Belfast to Heathrow a week ago and the flight was delayed by over three and a half hours. We missed our onward Air Canada flight to Calgary as a result. On arriving in Calgary (after re-routing via Vancouver which added over 6 hours to our journey) we met other passengers who had also missed the same Air Canada flight as their British Airways flight from Manchester had also been delayed by several hours. We are now on our way home only to find our Heathrow to Belfast flight, which had already been cancelled and put back 2 hours, is now delayed by another 2 hours. Avoid British Airways like the plague.",16th March 2023,United Kingdom,Negative
"""it's by no measure good""",measure good,"
Our flight out to Dubrovnik was at the painful time of 6:30 in the morning and from London Gatwick, not an easy airport to get to at that hour especially as you have to be at the airport minimum 2hrs before to be ready to board. I understand why the likes of easyJet, Ryanair or Wizzair fly at very odd times to utilise cheaper slots at airports, but it seems an odd choice for British Airways given most people like us who fly with them choose them based on quality not on price alone. Outbound LGW-DBV: Boarding was fairly quick, easy and efficient and we took off on time. Pilot announcements clear, professional and inspired confidence which is something I appreciate and expect of British Airways pilots. Aircraft was clean and it had not been through the recent refurbishment program yet so had the advantage of having the 'Pinnacle' seats in economy still with more padding and adjustable winged headrests for better comfort. Complimentary Harrogate Mineral water given as usual which is a premium touch, complimentary snack of a Nutrigain bar was poor and not premium however. Cabin crew felt very unpolished in both presentation and behaviour - messy ill-fitting uniforms and unclassy make-up. Toilets clean and maintained, appreciate anti-bacterial wipes being kept available post-covid. Inbound DBV-LGW: For some reason no online or app check-in available, despite Dubrovnik Airport being a very modern airport with state of the art facilities. No queue at manual check-in though, and ground staff were very warm, friendly and helpful. Pro-actively offered to take our larger hand-luggage into hold free of charge, but we decided to keep with us as we would have to dash for train home from airport and trains on the other end were being cancelled already. We did not understand the delay to our flight as the inbound flight for that day had took off on time and landed on time. Also we travelled to Dubrovnik out of season, and the airport was empty at that hour, with all services being available solely for this flight taking off that evening. All the passengers in the terminal at that time including us were there to take this flight. We boarded on time and then we all sat at the gate for 15 minutes for no reason. It's truly bizarre how British Airways managed to take off late when all the services at the airport were operating and live solely for the purpose of enabling this flight to take off. Pilots for this flight were unpolished, with unclear announcements - during the flight one couldn't even remember where we flying back to! No apology for delay. Cabin crew a bit smarter presented and seemed more approachable. Harrogate water given out and the worlds tiniest bag of pretzels complimentary. Seats for this flight were horrendous and the new 'slimline' ones British Airways are installing from row 14 onwards. These seats have barely any padding, so very hard and also have no headrests so very hard to get comfortable. We landed 55 minutes late in Gatwick and again no apology was given - we were lucky to catch the last uncanceled train home otherwise we'd been stranded for hours. We'd spent half an hour circling Gatwick because we missed our original landing slot. Given 7 because in the context of the short-haul market thats what they deserve - we fly British Airways as we don't fly the low-cost carriers after so many bad experiences, but it's by no measure good, just the least bad option. Given 1 point extra solely for giving something complimentary onboard.",15th March 2023,United Kingdom,Positive
"""Avoid unless you have no other option""",avoid unless option,"Not If I could give a minus rating, I would. Supposed to be LHR-AMS at 14.05 on 13th March. Get to LHR at 12.00, email to say flight cancelled. No one able to help at LHR, said to use the app. Only halfway sensible option was from LCY-AMS at 17.05, so taxi over there as trains from LHR not working (ok, not British Airways's fault). Get to LCY, showing as cancelled on screen, so check the app and there it is. Rebook again via the app to the 15.30 departure, go to desk to drop bag and was told that I was only on standby for the flight, with no guarantee of a seat, despite the app telling me it was confirmed. The 18.35 to AMS was already overbooked so was moved onto the 19.30 flight to Rotterdam. The 15.30 and 18.35 were both cancelled anyway, as it happened. Eventually took off and the best thing I can say is that it landed intact. Return from AMS-LHR, similar story. Arrive at AMS, screen shows the 21.00 is cancelled. Quickly check app, and confirmed it was. No emails, no texts, nothing. Rebooked via app to the 22.00 departure, so could have been worse. Desk agent helpfully printed me a boarding card as the app was unable to issue anything for a rebooked flight. Overall, dreadful. They just don't care and hide behind apps and automated call centres. Avoid unless you have no other option, and even then stop and consider if you 'really' need to go.",15th March 2023,United Kingdom,Neutral
"""pathetically inefficient""",pathetically inefficient,"Plane was over an hour late leaving, no problem that can happen. But on arrival at Heathrow, the plane sits on the runway for 45 minutes as there was no free stand to go to. Then once at the stand we waited another 45 minutes as there was no bridge available to enable us to get off the plane. Just pathetically inefficient.",15th March 2023,United Kingdom,Neutral
"""fallen far behind their competitors""",fallen far behind competitor,"Not We were flying World Traveller Plus their Premium service. What it was not was Premium. We have travelled with many airlines and lucky enough to fly Premium most times. British Airways's premium is the worst I have come across. The flight from Heathrow to JFK was just ok, the flight back was in a plane that should not be used. Old, dirty, uncomfortable with two broken seats out of the four we had, one would not recline and one reclined without using the button. British Airways needs to look at the Premium service and offer exactly that instead of trying to cut costs. They have fallen far behind their competitors, they were once my preferred airline but now I try and avoid at all costs. I would rather pay more and fly with someone else.",14th March 2023,United Kingdom,Negative
"""one of the worst experiences""",one worst experience,Not This was literally one of the worst experiences. I havent been to an airport since. It began in Orlando flying back the flight plan system went down and we were stuck on the tarmac for 6 hours. Poor customer service and just ignored at times. Then missed my connecting flight and we were told not to leave the baggage area without our bags. Even though I booked through to Dublin. Another 4 hours I was told my bags were lost and to continue to the desk to book a flight. Another hour later I was handed a card with a number and told to ring it. I was cut off three times and told I wouldnt be able to get home that day despite several flights being available. Just booked my own flight and had lost my suit and presents for Christmas and missed an engagement party.,13th March 2023,Ireland,Negative
"""a horror show of incompetence""",horror show incompetence,"The usual shambolic unfolding that British Airways has now unfortunately been come to known for. We had a long weekend flight booked to Munich that was supposed to be departing on 9th February at 19:55. This happened to be our first flight with our newborn (3 month old) daughter. It turned out to be a horror show of incompetence. Just under 3hrs before scheduled departure, the original 9th February flight was cancelled. We received an email as we were boarding the Heathrow express. d booked a day of holiday off work for this trip. We ended up getting doing a round trip to Paddington instead. On the way back from the cancelled flight, both me and my wife tried calling British Airways. Despite one of us having silver membership (possibly the largest joke of a membership currently out there), I took us nearly 45 minutes to speak to someone who could help. I believe British Airways outsource their call centres and so you end up talking to people who are following a script. The result is that you might as well be speaking to an AI rather than a human. We often received the response similar to ˜computer says no. If this is the service level for silver members I cant imagine what a regular punter has to put up with. When the phone originally connected to a person, I had to wait 5 minutes as his computer booted up. - British Airways then proceeded to auto-book us onto a new flight for the next day but going to a different destination. Our original flight was to Munich and the auto-booked replacement flight was to Salzburg. When asking the robot at the British Airways call centre why they booked us on a replacement flight to a location 135km apart, they couldnt understand my frustration.  Eventually, someone was able to book us onto a flight the following day at 17:00. Not ideal as d wasted a valuable day off work and the hotel wouldnt refund us or move our booking, but at least we were going to Munich and not Salzburg. - The day of the new flight came round and, this time, we managed to get all the way to the check in desk. Upon arriving at the check in desk, we were told that our rebooked flight had just been cancelled 4 minutes earlier. No email. No text. No notification ever arrived from British Airways to tell us that the flight had been cancelled. Incomprehensible as to how this could have possibly happened. The check in person said I should get on the app to rebook. At this point, I didnt know whether to explode with anger or cry. Luckily, another check in person had an ounce of sympathy and explained to the useless check in person that he could actually rebook us. We were booked onto another flight later that evening (19:55 - British Airways0958). Unfortunately, that meant 5hrs in the grotty lounge with a 3 month old baby. It appears that everyone now has access to a lounge and so theres really no difference between the lounge and a hostel, other than you get free stuff in the former. This was not a pleasant experience. We did eventually arrive in Munich and, despite asking, didnt get our push chair/stroller delivered to the front of the plane. The plane was a characteristically British Airways dumping ground - they used to give you sanitising wipes so you could clean your seat and tray table down but they seemed to have cut back on this service too. All in all, another shocking British Airways service. A lost day of holiday and not an an ounce of empathy/sympathy/understanding at all from any of the employees I interacted with.",12th March 2023,United Kingdom,Neutral
"""My baggage never arrived""",baggage never arrived,Not Lost my case and took 6 weeks to locate it and still have not replied to me after 8 weeks. I had a business class flight scheduled on Dec 12 2022 ¦ Manchester > Copenhagen -Bangkok and return flight Dec 27 2022 ¦ Bangkok > Stockholm > Manchester. SAS Airlines left Manchester over an hour late due to the weather and air traffic control. When I arrived in Copenhagen to get the connecting flight for Bangkok we were 10 minutes too late and the flight had gone (half of the plane missed it) SAS Airlines provided me with a new itinerary the same day being ¦ Copenhagen (SAS) > London (British Airways) > Dubai (Emirates) > Bangkok. I returned from Copenhagen to London and the collected my boarding pass at British Airways. We were over 2 hours late leaving London due the weather and a passenger being asked to leave the flight. We arrived in Dubai late and was informed the flight had gone. Emirates then informed me that I had to speak with Thai Air to get another flight issued. I spent over an hour phoning Thai Air with nobody picking up the phone. I then spoke with Thai Air Dubai who informed me that they did not have any alternative flights and suggested that I buy a new ticket and then claim the funds back later. I paid £1279.43 for a Kuwait Airways flight out of Dubai > Kuwaiti > Bangkok. Whilst in Dubai I checked with Kuwait Airlines regards my baggage and they informed me that it had not arrived from London and they would locate it and forward to my Bangkok address the following day. My baggage never arrived despite me completing lost baggage forms. I arrived back home yesterday and was informed by British Airways that they have found my bag in London.,12th March 2023,United Kingdom,Neutral
